번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
12221118,사주 한번 봐주면 감사한다,ㅇㅇ(203.251),2019-11-17,34.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12221118&search_pos=-12185549&s_type=search_subject_memo&s_keyword=사주&page=7,"대인관계 이번해 막바지 어떨까
뭔가 꺼림찍한 기분이 들어서 그래",,,,,,
2397956,선운?한테 사주 보는거 비추?,ㅇㅇ(118.235),2022-08-06,195.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2397956&search_pos=-2390386&s_type=search_subject_memo&s_keyword=사주&page=11,"4만원인가 5만원이라던데 맞음?
- dc official App",,,,,,
6576306,이사주 재극인이야 관인상생이야 재생관인이야?,역갤러(211.234),2024-06-01,219.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6576306&search_pos=-6540386&s_type=search_subject_memo&s_keyword=사주&page=3,"정재 본인 정관 정재
정관 정재 정인 편재
여자임.
재극인
재다신약
재생관인
뭘까?",,,,,,
9508749,니네 gpt점술+사주같이보셈,역갤러(106.101),2025-08-31,69.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9508749&search_pos=-9460048&s_type=search_subject_memo&s_keyword=GPT&page=1,"ㄱㄱㅋㅋ
시주도 잘맞춤 ㅇㅇ",,,,,,
12531007,꾸깽님 저번에 페펭사주 남자한테잘하고 뭐그런다고 그러셨는데어찌된일임,흑인노예,2019-12-23,71.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12531007&search_pos=-12495549&s_type=search_subject_memo&s_keyword=사주&page=11,"해명좀
- dc official App",,,,,,
9790602,공부해야되는 사주인가요?,ㅇㅇ(39.114),2019-01-16,38.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=9790602&search_pos=-9755549&s_type=search_subject_memo&s_keyword=사주&page=2,- dc official App,,,,,,
16308856,궁금한게 잇는데 뾰족한걸 다뤄야 한다거나 피보는 직업 해야하는 사주들,똥글,2021-04-21,95.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=16308856&search_pos=-16265549&s_type=search_subject_memo&s_keyword=사주&page=13,"너네도 잔인한 영화 좋아하냐
공포영화말고 ㅇㅇ 난 존나좋아하는데 다른애도 그런가",,,,,,
2559731,심심한데 토다자 사주볼사람?,ㅇㅇ(121.162),2022-09-01,67.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2559731&search_pos=-2550386&s_type=search_subject_memo&s_keyword=사주&page=10,ㅇㅇ,,,,,,
9578459,네팔 상황 (총리 부인 사망),역갤러(47.150),2025-09-13,57.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9578459&search_pos=-9520048&s_type=search_subject_memo&s_keyword=GPT&page=1,"https://youtu.be/7Q7AFINekj0
Z세대 들이 화남 (네팔은 20대 인구 비율이 높은 나라. 15에서 29세 사이 인구가 전체 인구 30프로정도라함)
최근 및 진행 중(2025년) 폭동 / 대규모 시위
2025년 Gen‑Z 항의 시위 (Gen Z Protests)
원인: 정부의
소셜 미디어 플랫폼 26개국가에 대한 등록 요건 미이행
→ 이에 대한
플랫폼 차단
조치 + 정부의 부패, 불투명한 행정에 대한 분노 등이 폭발.
Reuters
+5
Encyclopedia Britannica
+5
JURIST
+5
규모/피해: 최소 19명 사망, 수백 명 부상, 수천 명 체포 및 상처.
Encyclopedia Britannica
+3
Kathmandu Post
+3
JURIST
+3
폭력 양상: 의회 건물 돌입, 정부 청사 및 정치인 주택 방화, 방화 + 기물 파손 등이 발생. 치안 부대와 충돌, 실탄 사용도 보고됨.
Wikipedia
+4
Al Jazeera
+4
JURIST
+4
2025년 친왕정 시위 (Pro‑Monarchy Protests)
배경: 공화제 체제에 대한 불만, 정치적 불안, 연속적인 정부 교체, 왕정 및 힌두 국가로의 회귀를 요구하는 목소리 등이 섞여 있음.
Wikipedia
+2
Himalini
+2
사건: 2025년 3월 28일 카트만두의 친왕정 시위가 폭력적으로 변하며 사상자, 재산 피해 발생. 경찰과 시위대 간 충돌, 차량 및 상점 등 방화/파손.",,,,,,
15573206,얘가사주가그리좋아!?ㅡㅡ대운두-?,ㅇㅇ(223.39),2021-01-04,118.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15573206&search_pos=-15535549&s_type=search_subject_memo&s_keyword=사주&page=22,"ㅈㄴ성격파탄자에ㅡㄷ암흑에사는인간같은대
여기얘들은 왜 이남자사주좋다고 빨아주냐
- dc official App",,,,,,
