cafe_name,keyword,title,author,date,views,link,body
디젤매니아,gpt 사주,Gpt로 사주도 봐주나요??,악,2025.02.19.,580.0,https://cafe.naver.com/f-e/cafes/11262350/articles/45375906?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=gpt%20%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjQ1Mzc1OTA2LCJpc3N1ZWRBdCI6MTc2MTU1NzgwOTI3MCwiY2FmZUlkIjoxMTI2MjM1MH0.czRazUKzDXC5mS7n7fcN8ccMXo_BR7xF8H797NZk8AE&page=1,한번 보려고 하는데 어떻게 해야 하나요??
디젤매니아,사주,"사주) 양인살, 칼 있는 사주",피넛콩,2024.05.05.,0.0,https://cafe.naver.com/f-e/cafes/11262350/articles/43829571?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjQzODI5NTcxLCJpc3N1ZWRBdCI6MTc2MTU2MjAwMTU0NSwiY2FmZUlkIjoxMTI2MjM1MH0.kGhd4G3IhChp1JozqGTpy3zip8TKIfvjjRa5RPeC_aY&page=8,"※ 상기 유머방 규정 숙지 및 참여 부탁합니다.
​
​
​
​"
레몬테라스,운세,네이버운세에서  로또사라는데,바른생활어른잉,2020.01.09.,323.0,https://cafe.naver.com/f-e/cafes/10298136/articles/25822890?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%9A%B4%EC%84%B8&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjI1ODIyODkwLCJpc3N1ZWRBdCI6MTc2MTY1NTY0NzcwNSwiY2FmZUlkIjoxMDI5ODEzNn0.KgxawV-szIUa5yTUGPIPFKlSsujBVTfTFY6biVrjpKA&page=13,"이전글
다음글
목록
쫑알쫑알 게시판
네이버운세에서  로또사라는데
인기멤버
바른생활어른잉
여신
1:1 채팅
2020.01.09. 23:34
조회 323
댓글
0
URL 복사
URL이 복사되었습니다. 원하는 곳에 붙여 넣으세요.
이 글은 검색 비허용 게시물입니다.
게시물을 확인하기 위해서는 가입이 필요합니다. 이 카페의 멤버가 되어보세요.
카페에 가입하면 바로 글을 볼 수 있어요!
301.5만명의 멤버와 함께하는
레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아,커뮤니티]
에
가입해 보세요.
셀프 집꾸미기,인테리어,리폼,diy,요리,결혼,임신,출산,육아,여성,재테크, 커뮤니티, 생활 전반 카페입니다
가입하면 1,471.8만개의 글을 볼 수 있어요
어제 8.5만명이 방문했어요
최근 일주일 동안 634명이 가입했어요
10초 만에 가입하기"
레몬테라스,사주,[연예]박수홍 엄마 사주,벨로아,2023.10.16.,0.0,https://cafe.naver.com/f-e/cafes/10298136/articles/31299904?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjMxMjk5OTA0LCJpc3N1ZWRBdCI6MTc2MTYxNTAxNjY2MCwiY2FmZUlkIjoxMDI5ODEzNn0.H8kN1qhbb8dEfsh1HHiXISAU4aaR9WBamEg9PTPm9L0&page=19,"돌아 댕기다가 인스타서  퍼왔는데 여기 점집 대박 . ㅎ 예전 방송분인가 봐요. 뭔가 재미로 물어 보고 싶긴 하네요.
​"
레몬테라스,사주,저도 사주 봐주실수있나요,loveyou,2021.01.31.,458.0,https://cafe.naver.com/f-e/cafes/10298136/articles/27413794?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjI3NDEzNzk0LCJpc3N1ZWRBdCI6MTc2MTYxNTE0MDg3NiwiY2FmZUlkIjoxMDI5ODEzNn0.bOzNRJK0GK5Ux8G-y5n9pUE_oXgru5kE1Pvow3jl_5U&page=36,"무슨말인지1도모르겠네요
좀봐주세요
감사합니다"
디젤매니아,운세,다들 신년운세 보셨나요 ㅎㅎ,무지좋아,2024.01.05.,0.0,https://cafe.naver.com/f-e/cafes/11262350/articles/43074952?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%9A%B4%EC%84%B8&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjQzMDc0OTUyLCJpc3N1ZWRBdCI6MTc2MTU4NzEzMjQ4OSwiY2FmZUlkIjoxMTI2MjM1MH0.s2uXQ9tvvbk8BiNiclAHIDg54Ee_aK4slvBwiFJ42GY&page=13,"​
사주 내용은 퐁 🫶
​
​
​
여러 조언을 들었지만 제일 와닿았던건
책을 부적처럼 여기라는 말씀이었는데요
이건 저도 여기 모든 횐님들께 추천드리고 싶어요
​
모든 사업가들은 결국 인문학자들이다 라고,,,
사람을 이해하고 이해시키고
다루고 움직일수 있는 힘이 있어야
돈도 벌 수 있는거겠죠
나아가 사회를 만들고 문화를 만들수 있으면
그만한 가치가 있는 사업이 또 있을까요 ㅎㅎ
​
(그런 의미에서 전 21세기를 위한 21가지 제언을 읽기 시작했는데 같이 읽으실분!)
​
횐님들 사주 후기도 궁금해요 알려주세용 ㅎㅎ
​
​
​
​
​"
레몬테라스,운세,재미로 보는 오늘의 운세 29일 화요일,오호라오호라,2020.12.29.,144.0,https://cafe.naver.com/f-e/cafes/10298136/articles/27278121?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%9A%B4%EC%84%B8&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjI3Mjc4MTIxLCJpc3N1ZWRBdCI6MTc2MTY1NTYxOTgzNiwiY2FmZUlkIjoxMDI5ODEzNn0.5JV8_l_zdLAJWfws1NRrKK2MxUvXCZYdagVRmgbCPVE&page=10,"오늘의 운세 띠별운세 12월 29일 화요일 금전지수
오늘의 운세 띠별운세 12월 29일 [음력  11월  15일]  일진:  병오(丙午) 〈쥐띠〉   84년생 남의 말에 휘...
m.blog.naver.com"
레몬테라스,운세,재미로 보는 오늘의 운세 24일 불금요일,오호라오호라,2020.07.24.,198.0,https://cafe.naver.com/f-e/cafes/10298136/articles/26688854?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%9A%B4%EC%84%B8&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjI2Njg4ODU0LCJpc3N1ZWRBdCI6MTc2MTY1NTYzODc5MSwiY2FmZUlkIjoxMDI5ODEzNn0.A_gS5ms6YoC1-gCOKOd1jDtgB7UeYE6ni0METozDR4M&page=12,"이전글
다음글
목록
쫑알쫑알 게시판
재미로 보는 오늘의 운세 24일 불금요일
인기멤버
오호라오호라
1:1 채팅
2020.07.24. 07:27
조회 198
댓글
0
URL 복사
URL이 복사되었습니다. 원하는 곳에 붙여 넣으세요.
카페 캘린더 레이어
이 게시글을 카페 캘린더에서 제외하시겠습니까?
확인
취소
>
확인
>
취소
레이어팝업 닫기
카페 캘린더 레이어
이 게시글을 카페 캘린더로 보내시겠습니까?
확인
취소
레이어팝업 닫기
오늘의 운세 띠별운세 7월 24일 금요일 금전지수
오늘의 운세 2020년 7월 24일 금요일 (음력 6월 4일, 일진: 무진戊辰) 쥐(子)띠 84년생 포기하지 말고 끈기...
m.blog.naver.com
[주의안내]
게시판에 맞지 않는 글 금지 (정치적인 글, 덧글 / 분란글, 덧글 금지)
■
모바일 / PC
통합 공지
☎
스마트폰에서
PC 화면처럼 보기
오호라오호라
님의 게시글 더보기
좋아요
0
이 글을 '좋아요'한 멤버 리스트
댓글
0
공유
신고
클린봇
이 악성 댓글을 감지합니다.
설정
목록
TOP
'
운세
'
검색결과
이 카페 글
gpt
운세
는 맞을까요?
인간의 도리
2025.10.27.
올해 연애운이요 신점 철학관 다틀리고 점신만 맞네요
댓글
[2]
슈슈땅코옹
2025.10.26.
점신에서 첨으로 저보고 내년에 결혼한다는데요
슈슈땅코옹
2025.10.26.
사주풀이 해드릴게요.
후야쪽쪽
2025.10.18.
주술마술미신무속신앙영혼어쩌구
댓글
[1]
현생살자
2025.10.16.
페이징 이동
1
2
3
4
5
전체 카페 글
오늘의
운세
댓글
[4]
2025.10.24.
오늘도 승리의 기운을 이어가요+ 임찬규 선수 별자리
운세
댓글
[6]
2025.10.27.
평생
운세
제대로 보는 법
댓글
[20]
2025.10.27.
여러분..감독님의 무료
운세
를 봤습니다!!!!
댓글
[1]
2025.10.23.
10월 21일 류현진 , 후라도
운세
비교
댓글
[4]
2025.10.21.
페이징 이동
1
2
3
4
5
레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아,커뮤니티]
셀프 집꾸미기,인테리어,리폼,diy,요리,결혼,임신,출산,육아,여성,재테크, 커뮤니티, 생활 전반 카페입니다
멤버
3,015,321
명
카페 가입하기"
디젤매니아,사주,사주 ) 묘목 지지,피넛콩,2024.08.08.,0.0,https://cafe.naver.com/f-e/cafes/11262350/articles/44371661?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjQ0MzcxNjYxLCJpc3N1ZWRBdCI6MTc2MTU2MTk5NTM0NywiY2FmZUlkIjoxMTI2MjM1MH0.UJg87XTNneBAm-A6G6pPez5ONiCEVmrBS8HYbkOomMk&page=7,"※ 상기 유머방 규정 숙지 및 참여 부탁합니다.
​
​
​
​"
레몬테라스,사주,사주 문의 ㅡ여자 괴강 일주,백세만살자,2025.03.17.,204.0,https://cafe.naver.com/f-e/cafes/10298136/articles/33421088?boardtype=L&userDisplay=50&referrerAllArticles=true&inCafeSearch=true&query=%EC%82%AC%EC%A3%BC&art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtaW5DYWZlLXNlYXJjaC1saXN0.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjMzNDIxMDg4LCJpc3N1ZWRBdCI6MTc2MTYxNDkxNTIxOCwiY2FmZUlkIjoxMDI5ODEzNn0.5MOxlL4jvYu6OimGvE6iHpkSF61hqVvzGdoJGwHHXXE&page=6,"많이 나쁜가요?
현대사회에서 좋을수도 있나요?"
