번호,제목,링크,글쓴이,작성일,조회,본문,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178
4843612734,"이번 신규샷건 3종(뉴파스, 잭해머, 4성샷건) 평가",https://www.fmkorea.com/index.php?mid=gf&document_srl=4843612734&search_keyword=%EA%B6%81%ED%95%A9&search_target=title_content&page=2,별윤하,2022.07.22,1006,"뉴파스 : 새로운 적폐등장. 샷건계의 모나. MG와 샷건 쿨감 30%라서 그 중에서도 특히 MG4랑 궁합이 존나 잘 맞음(장탄수 추가에 쿨감으로 1탄창내에 준비만전발동..ㄷㄷ)꼭 8스택 안채우고 7스택으로 운영해도 매우 좋고쿨감 자체만으로도 엄청 쓸만함더불어, 노바 육성 추천잭해머(MK3A1) : 뉴파스+노바 조합 또는 뉴파스 + 스파스를 사용, 뉴파스의 쿨감 버프로 파수기를 금방금방 소환하여뉴파스 8스택버프(40초간 산탄총의 이동속도를 9 올리고 아군 산탄총의 장갑을 최대 100 가산하고 보호막을 최대 200 가산) 를 받은 3스택 파수기 더미를 무한 지속으로 세워놓을 수 있음. 원래 뉴파스 8스택 버프는 40초 지속인데 파수기는 소환될 당시 본체스탯을 그대로 이어받아서 소환되서 그런지 3번째 파수기 소환의 경우 지속시간 제한없이 버프된 스탯인체로 무한 유지됨파수기가 다 맞게 맨 앞에 세워두면 무피해로 2분가까이 버티던데 ㄷㄷ근데 중요한건 뉴파스랑 안붙이고 쓰기엔 성능이 미묘함 4성 : 나쁜건 아닌데 얘를 쓸 상황이 안나올거 같음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5939656549,점화 발탄1인 부파 후기,https://www.fmkorea.com/index.php?mid=lostark&document_srl=5939656549&search_keyword=%EC%8B%A0%EC%A0%90&search_target=title_content&page=3,하락멈춰,2023.07.06,379,1540 특신점화로 함 유령까지 가는데 ㄹㅇ 쾌적하긴한데...단점은 안전하게할려면 빛부식들어야하고 부파할려면 점화켜야해서 아덴 안차있으면 무조건 각물먹어야하는거.. 비용적인면에서는 개손해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603617168,박정우 올시즌 마지막 경기 ㅅㅅㅅㅅㅅㅅㅅㅅ,https://www.fmkorea.com/index.php?mid=baseball&document_srl=4603617168&search_keyword=%EC%82%AC%EC%A3%BC&search_target=title_content&page=252,ekgk9797,2022.05.10,52,대주자라는새끼가 올라올때마다 객사 주루사 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7046404397,[GEN]근데 노틸이 이니시 걸때,https://www.fmkorea.com/index.php?mid=lol&document_srl=7046404397&search_keyword=%ED%83%80%EB%A1%9C&search_target=title_content&page=343,Imfinzi,2024.05.18,161,이상하게 그세트는 픽이 그 다음 CC연계가 마땅한게 없고 딜이 박혀도 점멸로 뚜벅뚜벅 살아나가는게후반가면 계속 오브젝트 한타로 실제로 역전했거나 역전각 노리면서 플레이할거면 어느정도는 스킬 조합도 생각했어야 하지 않나 싶었는데,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612111625,93세까지 현역으로 활동한 만화가의 비결,https://www.fmkorea.com/index.php?mid=subculture&document_srl=3612111625&search_keyword=%ED%83%80%EB%A1%9C&search_target=title_content&page=122,시죠마키,2021.05.20,145,일본 국민만화 게게게의 키타로의 작가 미즈키 시게루외팔이라는 핸디캡에도 불구하고 93세까지 격주 연재하며 현역으로 활동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791560147,[HLE]근데 베릴 진짜 잘 사왔다 생각드는게,https://www.fmkorea.com/index.php?mid=lol&document_srl=7791560147&search_keyword=%EA%B6%81%ED%95%A9&search_target=title_content&page=18,유링게늄,2024.12.07,819,저렇게 나 죽어도 상관없으니 마인드로 잘 들이미는 서폿이있으니시우가 나중에 들어와서 패는게 가능만약 서폿이 저렇게 안들가면 시우가 애매하게 들가는 각이 많이 나올거 같은데ㄹㅇ 궁합이 좋게 잘 뽑히고 사옴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8789670090,지금 주갤 분위기 봐서는,https://www.fmkorea.com/index.php?mid=stock&document_srl=8789670090&search_keyword=%EC%A0%90%EC%8B%A0&search_target=title_content&page=25,장량자방,2025.08.15,1273,특정 주식 안좋을거 같다고 뷰를 얘기하거나 매크로로 조정 하락뷰를 얘기하면 블라하고 대놓고 뭐라하고 쪽지로 뭐라 하는 사람들이 생기는걸로 봐서올해 한창 테슬라 450넘고 하락장 오기전 분위기가 물씬 나서 여러모로 흥미롭네호들갑 떠는 사람들 많아지면 그게 고점신호다 그런 소리 한귀로 듣고 한귀로 흘렸지만비슷한 분위기가 되니까 기시감이 팍 드네 주식한지 1년도 안됐는데 다이나믹하다 진짜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7909952970,"[KIA]'이정후 점프' 기정사실 김도영, 455.6% 하재훈까지 넘어설까 [IS 포커스]",https://www.fmkorea.com/index.php?mid=baseball&document_srl=7909952970&search_keyword=%EC%A0%90%EC%8B%A0&search_target=title_content&page=10,김도영의타격교실,2025.01.10,1767,"출처 https://isplus.com/article/view/isp202501100005프로야구 최우수선수(MVP) 김도영(22·KIA 타이거즈)의 '연봉 인상률'에 관심이 쏠린다.지난 시즌 KBO리그 통합 우승 팀 KIA는 산적한 과제를 하나씩 해결하고 있다. 관심이 쏠린 우승 보너스는 A급 선수에게 최대 2억원(B급 1억5000만원)을 지급하며 큰 잡음 없이 마무리했다. 연봉 계약에도 조금씩 속도가 붙고 있는데 결국 '협상 끝판왕'은 김도영이 될 전망이다.프로 3년 차였던 김도영의 지난해 연봉은 1억원이었다. 각종 기록을 갈아치우며 통합 우승을 이끈 주역인 만큼 대폭 인상이 예상되는 상황. 애초 김도영의 비교 대상은 4년 차 역대 최고 연봉을 기록한 2020년 이정후(당시 키움 히어로즈·3억9000만원)였다. 프로 4년 차로 사상 첫 연봉 4억원 시대를 열 수 있을지 눈길이 쏠렸는데 최근 구단 안팎에서 심심치 않게 '5억원 가능성' 얘기가 들린다. 그러면서 언급되는 게 2020년 하재훈(당시 SK 와이번스)이 기록한 연봉 인상률 455.6%(2700만원→1억5000만원)이다.2019시즌 리그 구원왕(36세이브)을 차지한 하재훈은 겨울 연봉 협상에서 역대 최고 인상률을 보장받았다. 이후 한유섬(SSG 랜더스)과 구자욱(삼성 라이온즈) 박동원(LG 트윈스) 등 비자유계약선수(비FA) 다년계약이나 자유계약선수(FA)에 의해 하재훈의 기록이 깨졌지만, 일반 연봉 계약으로는 여전히 하재훈의 인상률이 역대 1위에 해당한다. 김도영이 하재훈의 기록을 넘어서면 역대 4년 차 최고 연봉을 경신하면서 '두 마리 토끼'를 모두 잡게 된다. 역대급 시즌에 대한 역대급 보상을 받게 되는 셈이다.다만 하재훈의 기록적인 연봉 인상률이 가능한 건 직전 시즌 연봉이 워낙 적었기 때문이다. 2006년 MVP와 신인왕을 동시 석권한 류현진(한화 이글스)은 이듬해 연봉이 전년 대비 400% 수직 상승(2000만원→1억원)했는데 당시 신인 최저 연봉자여서 인상 폭이 클 수밖에 없었다. 김도영처럼 억대 연봉에서 400% 이상 인상된 건 전례를 찾기 힘들다.형평성도 무시하기 어렵다. KIA는 지난달 발표한 2024시즌 구단 연봉 40명 합계 금액이 112억4900만원으로 샐러리캡(경쟁균형세)에 1억7738만원 차이로 근접했다. 올 시즌 샐러리캡이 종전보다 20% 늘어난다고 하더라도 통합 우승에 따른 선수단 전체 연봉 인상을 고려하면 여유가 크지 않다는 평가. 선수단 분위기를 고려해 어느 정도 균형이 필요할 수 있다. 다만 김도영이 유니폼 판매에서 특급 매출을 달성한 만큼 이에 따른 보상도 가능하다. 심재학 KIA 단장은 앞서 ""잘한 만큼 줘야 하지 않겠나""라며 촌평했다.김도영의 연봉 협상은 장기전이 유력하다. 선수 측에선 어느 정도 희망 연봉에 대한 가이드라인을 제시했고, 이를 전달 받은 구단 측에서 내부 고심에 들어간 모양새다. 역대 최연소·최소 경기 30홈런-30도루 클럽, 역대 최연소 선점·최소 경기 100득점, 역대 두 번째 내추럴 사이클링 히트(단타부터 홈런까지 차례로 때려내는 기록), 단일 시즌 득점 신기록(종전 135득점) 등을 두루 해낸 김도영이 연봉 협상에서 '만루 홈런'을 때려낼 수 있을지 지켜볼 일이다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240696184,20대 후반 브랜드 추천좀 해주실수있나여?,https://www.fmkorea.com/index.php?mid=fashion&document_srl=3240696184&search_keyword=%ED%83%80%EB%A1%9C&search_target=title_content&page=49,Lv1호구리,2020.12.05,1549,조던이랑 덩크 사카이 등등 나이키 신발좋아해서 좀 모으는 편입니다.근데 인스타로 이런 류의 신발 신는 사람들 보니까약간 좀 스트릿한게 빡센 착장밖에없어서요 ㅠ근데 그런 착장느낌으로 입기엔 비슷한 느낌으로 가면 너무 애 처럼 보이는 건 싫어서그냥 캐쥬얼에 신발 포인트 주는 너낌으로 입고있는데고민이네요 ㅠ 참고할만한 인스타도 별로없고 조거나 스웻팬츠도 좋아하는 편은 아니고조던이랑 덩크 신어도 와이드바지로 내려입고너무 티안내는 느낌이 좋은데..이런식으로 입는 사람 인스타나아니면 저처럼 입는 사람들이 구매하기 괜찮은 브랜드가 있을까요?0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026364148,악어가 두번째 스테이지는 새로운 세상이다라고 했단 글 봤던거 같은데,https://www.fmkorea.com/index.php?mid=afreecatv&document_srl=7026364148&search_keyword=%EC%9A%B4%EC%84%B8&search_target=title_content&page=45,백제산,2024.05.13,5165,저거 2웨이브 보스들 다 잡히면 3웨이브 오면서 새로운 사냥터 추가될 것 같지 않음?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
